Post,ContainsOrNot
Q: what&#039;s your favorite song? :D<br>A: I like too many songs to have a favorite,0
Q: <3<br>A: </3 ? haha jk! <33,0
Q: &quot;hey angel  you duh sexy&quot;<br>A: Really?!?! Thanks?! haha,0
Q: (:<br>A: ;(,0
Q: ******************MEOWWW*************************<br>A: *RAWR*?,0
Q: any makeup tips? i suck at doing my makeup lol<br>A: Sure! Like tell me wht u wnna know?! Like wht do you use?!,0
Q: Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha<br>A: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,0
Q: Are you a morning or night person?<br>A: Night 4shuree!!,0
Q: are you a trusting person?<br>A: alreadi answrd,0
Q: are you a trusting person?<br>A: Yes veryy trustin person!!! May i help yuh:!,0
Q: Are you and @TruAce best friends?<br>A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,0
Q: Are you more of a talker or more of a listener?<br>A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,0
Q: Are yuh single and ready 2 mingle?!<br>A: Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,0
Q: ask me something!!!<br>A: :),0
Q: BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3<br>A: Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,0
Q: bahahahahhaha ;p<br>A: lmaoo!!!!,0
Q: Bitch u thee bomb like Tick TICK!<br>A: Hahah(: Thanks!,1
Q: can you please sing a cover of any justin bieber song? :D<br>A: Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!,0
Q: Cats or Dogs?<br>A: Dogs! Im allergic 2 cats=,0
Q: Chocolate or Vanilla?<br>A: Chocolate! Bahah!,0
Q: definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)<br>A: Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,0
Q: Did u watch bieber on oprah?<br>A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,0
Q: Do you believe in life after death?<br>A: Yes of course i do... Its called Eternity with God in heaven!<3,0
Q: Do you believe in luck?<br>A: Yes  bhut I think luck is blessing from God actually! in my opinioN!,0
Q: Do you believe there&#039;s intelligent life on other planets?<br>A: If God created them then hellz yes!,0
Q: Do you consider yourself a good dancer?<br>A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,0
Q: do you have a bf??<br>A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,0
Q: Do you have any favorite YouTube star?<br>A: I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!,0
Q: do you have any memories you&#039;d like to forget?<br>A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,0
Q: Do you have any piercings?<br>A: Yuppers! Nose and Cartilage piercings(;,0
Q: Do you have any scars on your body?  If so  how&#039;d you get them?<br>A: Hahaha. Strange!:S,0
Q: do you like atlanta  GA ?<br>A: yes i love ATL!! great place 2 live  wish i lived there! ;D,0
Q: do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.<br>A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,0
Q: do you think you&#039;re a good friend?<br>A: Fuck yes i think i am! haha,0
Q: do you watch american idol? if so  who are you voting for this season?<br>A: Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,0
Q: Do yuh have any stalkers?<br>A: Hell yes! Lots of them and thats including yuh!<3,0
Q: don&#039;t listen to the haters  you are pretty!<br>A: :D thank you gurl/boy ? I really appreciate it!<33,0
Q: Favorite store?<br>A: ATM Rue 21;D Or Forever21 <3,0
Q: Fuck Justin bieber. He&#039;s a fucking fag<br>A: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,1
Q: growl;]<br>A: Meowl?;D If thts a word haha<3,0
Q: guesss who ;)<br>A: Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,0
Q: -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3<br>A: Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,0
Q: haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol<br>A: lmfao! haha! Nahh its my badd;),0
Q: haha ;)so.. have u ever been to france?<br>A: Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,0
Q: haha check inside ur closet u mind find out who it is(;<br>A: Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,0
Q: HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3<br>A: OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,0
Q: HAHAH GUESS WHO!? <3<br>A: Mary?! lol hahahaha,0
Q: hahah okey dokey!..sweet thang(;<br>A: Mwahaha!!! Sweet thang! i love it!!,0
Q: Hahah. Funny how u defend that beiber kid.<br>A: &amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!,1
Q: HAHAHA NOPE! ...<br>A: Uhhhhh!!!! OMG! Taquisha? LOL!,0
Q: Have u ever licked thee floor?<br>A: Hahaha.. Yup!(: Its my job,1
Q: have u seen JUSTIN BIEBER in person? (:<br>A: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,0
Q: Have you broken any bones?  If so  how?<br>A: Haha nahh ive just fractured some thumbs bhut itz all good lol,0
Q: have you ever been on itellyouthat.com? go there and tell something to the world :D<br>A: Hahah OHKAY?!,0
Q: have you ever had your heart broken?<br>A: Yup yup!!:P,0
Q: hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D<br>A: haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,0
Q: Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!<br>A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin,1
Q: Hello. My friend is also named April.<br>A: Nicee!,0
Q: Hello?<br>A: Hey  hows yah momma?!,0
Q: -Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3<br>A: ahahaha!!!(: It wuzz funn!(: lmao<3,0
Q: Hey my name is April too! Haha. People named April are always cool. LOL.<br>A: Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,0
Q: hey you&#039;re an amazing nice and sweet girl..pretty too!<br>A: Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,0
Q: Hey. Why you such a bitch?<br>A: Why thank yuh!,1
Q: Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!<br>A: Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,0
Q: heyyyyyy!!! how u doin!!!!!<br>A: Im doing good thankyuh!!!Heyyy hbu?!,0
Q: heyyyyyyyy!!!!wats up!?!?(*)-)<br>A: Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,0
Q: Hi April!!!<br>A: Heyy :D,0
Q: how many languages do u speak?<br>A: Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,0
Q: how old are u ? And how do you know michael?<br>A: Who the hell are yuh!!! And who tha fuck is michael!?,1
Q: How would you describe your personality?<br>A: Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms),0
Q: How would you describe yourself in 3 words?<br>A: Myself Bubbly Funny?,0
Q: i love your hair.<br>A: iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!,0
Q: i love youu chica!<33<br>A: NO no no! I Love youuu moreee<333 ;D haha!!,0
Q: i love youuuuuuu (:<br>A: iFUCKINLoveyou!!!<33 xox ha!,0
Q: i speak english frensh and a little arabic cuz i&#039;ve been to egypt a lotta times :D<br>A: OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,0
Q: I think ur not pretty. Sorry.<br>A: Oh thats wht i think too! dnt be sorry hahaha! Silly goose,0
Q: i&#039;m bored can you tell me something funny? lool<br>A: Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha,0
Q: IF U LIVE FOREVER WAT DO U LIVE FOR?????<br>A: IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah,0
